lng,lat,type,num
115.9109421,39.61751556,2,1
115.95348359999998,40.37492752,0,1
115.9543839,40.38257599,0,1
115.9592514,40.38002777,0,1
115.9614334,40.39925003,0,1
115.9758453,40.00788879,2,1
115.9826279,39.68969345,0,1
115.9826279,39.68969345,4,1
115.98394009999998,40.00764847,2,1
115.9872894,39.69371414,0,1
115.9872894,39.69371414,4,1
115.9963989,39.69935226,0,1
115.9966812,39.69940948,0,1
116.0011215,39.72301102,0,1
116.0630722,39.70125198,0,1
116.064682,39.6733284,4,1
116.0668106,39.6544342,4,1
116.0683518,39.60557175,0,1
116.0687561,39.65577698,0,1
116.0689468,39.65301895,0,1
116.0690918,39.67722702,0,1
116.0690918,39.67722702,4,1
116.0691834,39.67189026,4,1
116.0696793,39.67201614,0,1
116.0698471,39.67157745,0,1
116.0699158,39.64400101,4,1
116.0702896,39.99201965,2,1
116.0712662,39.66294479,4,1
116.0717926,39.67321014,4,1
116.07408909999998,39.81171417,0,1
116.0788193,39.65882492,4,1
116.0895844,39.74789429,0,1
116.0919113,39.79301834,4,1
116.0936508,39.73477936,4,1
116.09403229999998,39.72812653,4,1
116.10173799999998,39.73978806,0,1
116.1060333,39.88679123,0,1
116.1073837,39.94452286,0,1
116.1096115,39.72460938,0,1
116.1098175,39.68815994,4,1
116.1113892,39.91146469,0,1
116.1128235,39.69542313,4,1
116.1129227,39.71953583,4,1
116.1138611,39.93077087,0,1
116.1168747,39.85253525,0,1
116.1207962,39.89356232,0,1
116.12239840000002,39.89382935,0,1
116.1305237,39.88807297,0,1
116.1352997,39.7465744,0,1
116.13598629999998,39.73085785,0,1
116.1364365,39.74482727,0,1
116.139534,39.62179184,0,1
116.1395874,40.2005806,0,1
116.1407013,39.78057098,0,1
116.1414414,39.74274445,4,1
116.141861,39.73453522,0,1
116.1419601,39.74268341,0,1
116.1419754,39.73799133,0,1
116.1420517,39.74391174,4,1
116.142067,39.73904037,0,1
116.1420746,39.73900223,0,1
116.1421585,39.73091888,0,1
116.1423569,40.14482879999999,2,1
116.1423874,39.7309494,0,1
116.1428375,39.74887848,4,1
116.1430893,39.78027344,0,1
116.143158,39.77869797,0,1
116.1433106,39.92707062,0,1
116.1436462,39.72612381,0,1
116.1453552,39.72549438,0,1
116.14594270000002,39.75118637,4,1
116.1465454,39.72670364,0,1
116.1494827,39.75302505,0,1
116.1533279,39.75669098,0,1
116.1533508,39.71833038,0,1
116.153595,39.89648819,0,1
116.1542358,39.75087357,0,1
116.1549988,39.92414474,0,1
116.1554642,39.92424011,0,1
116.15609740000002,39.61302567,0,1
116.1568375,39.92811203,0,1
116.1569824,40.23950577,0,1
116.1573639,39.75369644,0,1
116.1584168,39.8076973,0,1
116.1598129,39.75755692,0,1
116.1600571,39.75759506,0,1
116.1601486,39.75745773,0,1
116.1612167,39.92633057,0,1
116.161293,39.756515500000006,4,1
116.1613388,39.92761612,0,1
116.1617737,39.76529312,0,1
116.1626053,39.7616539,0,1
116.1630859,39.76699448,0,1
116.1632538,39.76065445,4,1
116.1637268,39.76344299,0,1
116.1648789,39.92494965,0,1
116.1649323,40.18167496,0,1
116.1658783,39.76778412,4,1
116.1660309,39.72069168,0,1
116.1660461,39.76641464,0,1
116.1660538,40.06690216,0,1
116.1665421,39.7738533,0,1
116.1675415,39.76762009,0,1
116.1688614,39.77924347,0,1
116.1693192,39.93160248,0,1
116.1694565,39.71272278,0,1
116.17099,39.77148056,4,1
116.1740723,39.91058731,0,1
116.1744919,39.92420959,3,1
116.1759644,39.81625366,2,1
116.1779862,39.92611694,3,1
116.18106840000002,39.80453873,4,1
116.1813126,39.81741333,0,1
116.18161770000002,39.78366089,0,1
